title,adult,id,original_language,popularity,release_date,vote_count,vote_average,primary_genre
Toy Story,False,862,en,118.746,1995-10-30,18320,7.971,Animation
Star Wars: The Force Awakens,False,140607,en,80.885,2015-12-15,19289,7.273,Adventure
The Idea of You,False,843527,en,124.738,2024-05-02,1455,7.4,Romance
The Beekeeper,False,866398,en,121.68,2024-01-08,3048,7.4,Crime
Forbidden Immoral Sex 3: Too Young Stepmother,True,1285810,ja,133.976,2018-05-07,1,10.0,Drama
Alienoid,False,601796,ko,111.615,2022-07-20,426,6.847,Science Fiction
Tarzan & Jane,False,13683,en,80.287,2002-06-24,612,6.0,Animation
Expend4bles,False,299054,en,119.845,2023-09-15,1510,6.19,Action
Shrek 2,False,809,en,115.284,2004-05-19,12242,7.281,Animation
Unang Tikim,False,1308821,tl,128.485,2024-07-07,2,5.0,Romance
Penguins of Madagascar,False,270946,en,101.847,2014-11-22,4120,6.5,Family
Fury,False,228150,en,106.829,2014-10-15,11886,7.5,War
Gunner,False,5492,en,110.302,2024-08-16,88,5.2,Action
Spider-Man: Far From Home,False,429617,en,97.913,2019-06-28,15595,7.424,Action
Twilight,False,8966,en,110.344,2008-11-20,13462,6.3,Fantasy
The Watchers,False,1086747,en,149.69,2024-06-06,1006,6.5,Horror
Titane,False,630240,fr,95.077,2021-07-14,1430,6.4,Drama
Woman of the Hour,False,835113,en,117.275,2024-10-03,383,6.6,Crime
A Mother's Embrace,False,1054561,pt,96.987,2024-10-03,16,6.4,Horror
Ice Age,False,425,en,96.006,2002-03-10,13193,7.4,Animation
Daddy's Head,False,1089123,en,95.535,2024-10-10,41,5.7,Horror
Meg 2: The Trench,False,615656,en,115.749,2023-08-02,3383,6.486,Action
Scary Movie 2,False,4248,en,104.187,2001-07-04,4608,5.8,Comedy
Spider-Man: Into the Spider-Verse,False,324857,en,113.413,2018-12-06,15565,8.4,Animation
The Predator,False,346910,en,78.389,2018-09-05,4628,5.633,Science Fiction
Transformers: Age of Extinction,False,91314,en,150.558,2014-06-25,8096,5.9,Science Fiction
